Unnamed: 0,surfactant,nanoparticle,concentration,run_id,bd_row_idx,bd_t [s],bd_BC [mm?²],bd_M?B?A? [µm²],bd_SD M?B?A? [µm²],bd_R_avg [Âµm],bd_Ravg [µm],bd_R21 [µm],bd_R32 [µm],bd_v,bd_w,hd_t [s],hd_h_foam [mm],hd_h_liquid [mm],hd_h_total [mm],hd_V_foam [mL],hd_V_liquid [mL],hd_V_total [mL],hd_FVS [%],hd_FLS [%],hd_T [°C],frame_path
0,Bioterg i wt.%,AL2O3_Done,0.00625,1,0,63.98,52.344,19104.0,9871.0,75.0,78.0,81.0,86.0,1.0,0.0,68.05,214.1,20.9,235.0,259.1,25.3,284.4,100.0,100.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_063.png
1,Bioterg i wt.%,AL2O3_Done,0.00625,1,1,68.98,52.435,19071.0,9975.0,75.0,78.0,81.0,86.0,1.0,0.0,69.05,214.1,20.9,235.0,259.1,25.3,284.4,100.0,100.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_064.png
2,Bioterg i wt.%,AL2O3_Done,0.00625,1,2,73.98,51.563,19394.0,9822.0,76.0,79.0,81.0,86.0,1.0,0.0,74.05,214.1,20.9,235.0,259.1,25.3,284.4,100.0,100.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_065.png
3,Bioterg i wt.%,AL2O3_Done,0.00625,1,3,78.98,51.247,19513.0,9679.0,76.0,79.0,81.0,86.0,1.0,1.0,79.05,212.1,22.5,234.6,256.7,27.2,283.9,99.1,94.3,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_066.png
4,Bioterg i wt.%,AL2O3_Done,0.00625,1,4,83.98,49.611,20157.0,10070.0,77.0,80.0,83.0,87.0,1.0,0.0,84.05,206.6,26.5,233.1,250.0,32.1,282.1,96.5,80.4,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_067.png
5,Bioterg i wt.%,AL2O3_Done,0.00625,1,5,88.98,46.873,21334.0,10906.0,80.0,82.0,85.0,90.0,1.0,1.0,89.05,202.3,30.0,232.3,244.7,36.3,281.0,94.5,68.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_068.png
6,Bioterg i wt.%,AL2O3_Done,0.00625,1,6,93.98,43.275,23108.0,12947.0,83.0,86.0,89.0,95.0,1.0,4.0,94.05,197.4,33.2,230.6,238.8,40.2,279.1,92.2,56.9,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_069.png
7,Bioterg i wt.%,AL2O3_Done,0.00625,1,7,98.98,37.988,26324.0,17030.0,87.0,92.0,96.0,105.0,2.0,6.0,99.05,193.3,36.6,229.9,233.8,44.3,278.1,90.3,45.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_070.png
8,Bioterg i wt.%,AL2O3_Done,0.00625,1,8,103.98,33.618,29746.0,22534.0,92.0,97.0,103.0,116.0,2.0,10.0,104.05,189.6,39.5,229.1,229.4,47.8,277.2,88.6,35.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_071.png
9,Bioterg i wt.%,AL2O3_Done,0.00625,1,9,108.98,29.373,34045.0,26369.0,98.0,104.0,111.0,125.0,2.0,8.0,109.05,185.4,42.4,227.8,224.3,51.3,275.6,86.6,25.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_072.png
10,Bioterg i wt.%,AL2O3_Done,0.00625,1,10,113.98,25.623,39028.0,34332.0,103.0,111.0,121.0,139.0,2.0,9.0,114.05,181.5,44.8,226.3,219.6,54.1,273.8,84.8,16.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_073.png
11,Bioterg i wt.%,AL2O3_Done,0.00625,1,11,118.98,22.249,44947.0,41520.0,110.0,120.0,130.0,152.0,2.0,8.0,119.05,178.3,47.1,225.4,215.7,57.0,272.7,83.2,8.6,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_074.png
12,Bioterg i wt.%,AL2O3_Done,0.00625,1,12,123.98,18.719,53423.0,53189.0,118.0,130.0,144.0,171.0,3.0,12.0,124.05,175.6,49.0,224.6,212.5,59.3,271.8,82.0,2.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_075.png
13,Bioterg i wt.%,AL2O3_Done,0.00625,1,13,128.98,15.293,65389.0,65175.0,130.0,144.0,161.0,191.0,2.0,6.0,129.05,172.6,51.0,223.6,208.9,61.7,270.6,80.6,-4.9,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_076.png
14,Bioterg i wt.%,AL2O3_Done,0.00625,1,14,133.98,12.721,78613.0,81090.0,141.0,158.0,177.0,212.0,2.0,7.0,134.05,170.1,52.5,222.6,205.9,63.5,269.4,79.5,-10.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_077.png
15,Bioterg i wt.%,AL2O3_Done,0.00625,1,15,138.98,10.724,93252.0,100970.0,152.0,172.0,195.0,236.0,2.0,8.0,139.05,167.8,53.4,221.1,203.0,64.6,267.6,78.3,-13.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_078.png
16,Bioterg i wt.%,AL2O3_Done,0.00625,1,16,143.98,9.18,108938.0,115834.0,164.0,186.0,212.0,254.0,2.0,6.0,144.05,166.9,53.4,220.2,201.9,64.6,266.5,77.9,-13.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_079.png
17,Bioterg i wt.%,AL2O3_Done,0.00625,1,17,148.98,7.667,130433.0,140871.0,178.0,204.0,233.0,280.0,2.0,7.0,149.05,166.4,53.4,219.8,201.3,64.6,265.9,77.7,-13.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_080.png
18,Bioterg i wt.%,AL2O3_Done,0.00625,1,18,153.98,6.548,152716.0,168100.0,191.0,220.0,255.0,307.0,2.0,5.0,154.05,164.0,53.4,217.4,198.4,64.6,263.0,76.6,-13.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_081.png
19,Bioterg i wt.%,AL2O3_Done,0.00625,1,19,158.98,5.644,177173.0,200534.0,203.0,237.0,277.0,336.0,2.0,5.0,159.05,163.1,53.4,216.5,197.4,64.6,262.0,76.2,-13.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_082.png
20,Bioterg i wt.%,AL2O3_Done,0.00625,1,20,163.98,4.589,217893.0,241633.0,226.0,263.0,307.0,369.0,2.0,5.0,164.05,162.1,53.4,215.5,196.2,64.6,260.8,75.7,-13.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_083.png
21,Bioterg i wt.%,AL2O3_Done,0.00625,1,21,168.98,4.162,240243.0,282181.0,233.0,277.0,328.0,399.0,2.0,5.0,169.05,161.5,53.2,214.8,195.4,64.4,259.8,75.4,-12.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_084.png
22,Bioterg i wt.%,AL2O3_Done,0.00625,1,22,173.98,3.555,281323.0,324186.0,254.0,299.0,352.0,426.0,2.0,6.0,174.05,163.8,50.5,214.3,198.1,61.1,259.2,76.5,-3.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\AL2O3_Done\0.00625\1\extracted_frames\frame_085.png
